pays,Accès électricité (%),Accès Internet (%),PIB par habitant (USD),Accès eau potable (%),Mortalité accidents route (pour 100k),Revenu moyen/habitant ($/jour),Espérance de vie (années),Arrivées touristes internationaux,date_maj
LSO,57.3,47.991,916.282976983803,77.481451488906,31.9,,57.375,1142000.0,2026-03-23
LTU,100.0,88.5029,27786.0057829276,99.9175659134354,8.1,46.53,76.9878048780488,2284000.0,2026-03-23
LUX,100.0,99.3479,133230.619178899,99.9999993622078,4.1,106.1,83.3585365853659,525000.0,2026-03-23
LVA,100.0,92.1879,22710.2637544197,98.7373706487975,8.1,40.02,75.6780487804878,3204000.0,2026-03-23
MAR,100.0,91.0,3813.72607421875,91.2311035579693,17.0,,75.313,2802000.0,2026-03-23
MCO,100.0,99.1497,256799.788612806,100.0,0.0,,86.372,159000.0,2026-03-23
MDA,100.0,80.2126,6799.58594644576,92.2745583834246,7.3,13.53,71.198,29000.0,2026-03-23
MDG,39.4,20.3671,508.718427705591,54.4969430342798,29.2,,63.632,87099.9984741211,2026-03-23
MDV,100.0,84.6851,12587.6126038651,99.7301882656937,1.6,,81.041,555000.0,2026-03-23
MEX,99.7,81.1832,13860.9597809326,99.4095196134934,12.8,17.82,75.069,51128000.0,2026-03-23
MKD,100.0,87.1819,8674.35846327485,98.1866858659348,5.1,17.22,75.3160975609756,118000.0,2026-03-23
MLT,100.0,92.0727,40905.8059585057,100.0,4.1,65.45,83.5073170731707,718000.0,2026-03-23
MMR,76.8,58.5357,1233.19666209269,85.6324592259364,20.4,6.54,66.889,903000.0,2026-03-23
MNE,100.0,89.8052,12259.8775034436,99.2810967659846,7.6,20.64,77.5878048780488,351000.0,2026-03-23
MNG,100.0,83.0162,5838.63108083902,85.311512645746,21.0,11.49,72.1224390243902,66900.0015258789,2026-03-23
MOZ,36.0,19.8434,622.000297682823,64.5157588929919,30.0,2.38,63.611,2033000.0,2026-03-23
MUS,100.0,79.5,11269.9684462139,99.9024122575049,12.2,17.52,73.4121951219512,316000.0,2026-03-23
MWI,15.6,17.9881,633.214767978695,72.2285522528925,33.4,2.59,67.353,871000.0,2026-03-23
MYS,100.0,97.6927,11386.0395636528,97.8919385183286,22.5,39.7,76.657,4333000.0,2026-03-23
NAM,56.7,64.4061,4187.60500396525,86.1410432483345,34.8,12.72,67.385,187100.006103516,2026-03-23
NCL,100.0,82.0058,33701.8923322781,99.5386729881695,,,78.766,31000.0,2026-03-23
NIC,88.3,58.2314,2609.44492072931,,16.9,12.91,74.947,474000.0,2026-03-23
NLD,100.0,97.0068,63515.6030780019,100.0,4.0,75.5,81.9146341463415,7265000.0,2026-03-23
NOR,100.0,99.0,87497.2179649556,99.9999954349429,2.1,86.74,83.1121951219512,1397000.0,2026-03-23
NPL,94.0,55.7716,1382.33055769304,93.1169638221139,16.3,,70.354,230000.0,2026-03-23
NZL,100.0,96.1638,49075.9562832927,99.999999971682,9.6,,83.0048780487805,996000.0,2026-03-23
OMN,100.0,95.2517,21027.7384778886,92.559888964675,10.6,,80.031,869000.0,2026-03-23
PAK,95.6,27.3759,1360.32417758419,90.6815872292919,13.0,5.43,67.649,966000.0,2026-03-23
PAN,97.0,68.5485,18797.1933994045,95.0598439257546,13.9,30.37,79.594,647000.0,2026-03-23
PER,96.2,79.4848,7887.54185920108,95.0719233240551,13.6,15.06,77.74,1119000.0,2026-03-23
PHL,98.0,83.7661,3804.08274131097,95.465506033898,12.0,9.93,69.833,1483000.0,2026-03-23
PLW,100.0,,15610.8231931032,99.5299685485284,4.78,,69.269,18399.9996185303,2026-03-23
PNG,20.5,24.0667,2966.06830432055,52.3359168793014,12.6,,66.134,39000.0,2026-03-23
POL,100.0,86.4147,22145.2660647429,90.648484121514,9.4,44.05,78.5073170731707,88515000.0,2026-03-23
PRI,100.0,87.2918,36980.7884784287,100.0,,,81.69,3882000.0,2026-03-23
PRT,100.0,85.7901,27634.6183139773,99.2762210572337,8.2,41.07,82.2804878048781,4208000.0,2026-03-23
PRY,99.8,78.0948,6299.99026533713,99.6009612348131,22.0,18.2,73.844,1077000.0,2026-03-23
PYF,100.0,72.7039,21832.2831795569,100.0,,,84.07,89400.0015258789,2026-03-23
QAT,100.0,99.6528,81816.9797967481,99.9889721417312,7.3,,82.368,582000.0,2026-03-23
ROU,100.0,89.2034,18244.4186876321,99.9999974664564,10.3,32.66,76.6073170731707,5023000.0,2026-03-23
RUS,100.0,92.245,14159.3876953125,96.8670125138165,12.0,41.11,73.2546341463415,6359000.0,2026-03-23
RWA,63.9,34.2005,1027.03446826565,60.8290423575481,29.4,3.5,67.785,1634000.0,2026-03-23
SEN,74.2,60.6122,1698.03387300843,86.915566820325,23.5,6.51,68.683,1376000.0,2026-03-23
SGP,100.0,94.2852,85412.230345235,100.0,2.1,,82.8951219512195,2742000.0,2026-03-23
SLB,81.3,42.4597,1882.64394148042,71.4884718815892,16.5,,70.528,4400.00009536743,2026-03-23
SLE,35.5,20.635,758.329137378248,66.9139758718619,33.0,4.41,61.786,71000.0,2026-03-23
SLV,98.3,67.6558,5365.44491399171,91.1548543157466,20.9,15.46,72.099,707000.0,2026-03-23
