code_3L,libele,valeur,code_indicateur
CUB,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CUB,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
FRA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
GAB,Accès électricité (% pop),94.1,EG.ELC.ACCS.ZS
GHA,Accès électricité (% pop),89.5,EG.ELC.ACCS.ZS
GUY,Accès électricité (% pop),98.9,EG.ELC.ACCS.ZS
HKG,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
KEN,Accès électricité (% pop),76.2,EG.ELC.ACCS.ZS
KEN,Accès électricité (% pop),76.2,EG.ELC.ACCS.ZS
KGZ,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
LKA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
LKA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
LKA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
LKA,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
LSO,Accès électricité (% pop),57.3,EG.ELC.ACCS.ZS
LUX,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
MCO,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
MDG,Accès électricité (% pop),39.4,EG.ELC.ACCS.ZS
MDV,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
