City,country,code_3L,month,temp_avg,temp_max,temp_min
Blantyre,malawi,MWI,6,19.4,23.3,14.2
Blantyre,malawi,MWI,7,19.3,23.7,13.5
Blantyre,malawi,MWI,8,23.1,28.0,15.9
Blantyre,malawi,MWI,9,25.8,30.3,18.2
Bocas del Toro,panama,PAN,1,25.0,28.5,22.6
Bocas del Toro,panama,PAN,10,26.4,29.3,24.3
Bocas del Toro,panama,PAN,11,25.7,28.6,23.7
Bocas del Toro,panama,PAN,12,25.1,28.5,22.8
Bocas del Toro,panama,PAN,2,24.9,28.1,22.6
Bocas del Toro,panama,PAN,3,25.5,28.7,23.1
Bocas del Toro,panama,PAN,4,26.0,29.1,23.8
Bocas del Toro,panama,PAN,5,26.9,29.9,24.7
Bocas del Toro,panama,PAN,6,26.6,29.6,24.6
Bocas del Toro,panama,PAN,7,26.2,29.0,24.2
Bocas del Toro,panama,PAN,8,26.5,29.4,24.2
Bocas del Toro,panama,PAN,9,26.7,29.6,24.4
Bordeaux,france,FRA,1,6.9,10.7,3.9
Bordeaux,france,FRA,10,15.2,20.5,11.2
Bordeaux,france,FRA,11,10.5,14.9,7.2
Bordeaux,france,FRA,12,8.3,12.2,5.5
Bordeaux,france,FRA,2,8.5,13.3,4.8
Bordeaux,france,FRA,3,10.5,15.6,6.5
Bordeaux,france,FRA,4,13.2,18.9,8.4
Bordeaux,france,FRA,5,16.5,22.0,11.6
Bordeaux,france,FRA,6,20.2,25.9,15.3
Bordeaux,france,FRA,7,22.2,28.3,16.9
Bordeaux,france,FRA,8,22.1,28.7,16.7
Bordeaux,france,FRA,9,19.0,25.3,14.1
Braga,portugal,PRT,1,9.7,13.3,6.6
Braga,portugal,PRT,10,16.2,19.8,13.2
Braga,portugal,PRT,11,13.1,16.2,10.5
Braga,portugal,PRT,12,11.1,14.2,8.5
Braga,portugal,PRT,2,11.3,15.1,7.9
Braga,portugal,PRT,3,12.7,16.5,9.5
Braga,portugal,PRT,4,14.1,17.8,10.4
Braga,portugal,PRT,5,16.5,20.3,12.5
Braga,portugal,PRT,6,17.6,21.2,14.0
Braga,portugal,PRT,7,19.6,23.6,15.7
Braga,portugal,PRT,8,19.4,23.4,15.6
Braga,portugal,PRT,9,18.7,22.8,15.0
Bujumbura,burundi,BDI,1,24.0,28.9,20.3
Bujumbura,burundi,BDI,10,24.7,30.1,20.1
Bujumbura,burundi,BDI,11,23.9,28.8,20.0
Bujumbura,burundi,BDI,12,23.9,28.6,20.0
Bujumbura,burundi,BDI,2,24.3,29.4,20.5
Bujumbura,burundi,BDI,3,24.3,29.6,20.3
Bujumbura,burundi,BDI,4,24.2,29.1,20.4
Bujumbura,burundi,BDI,5,25.0,30.0,20.4
Bujumbura,burundi,BDI,6,24.7,29.8,19.8
Bujumbura,burundi,BDI,7,24.3,29.5,18.9
Bujumbura,burundi,BDI,8,24.7,30.2,19.3
Bujumbura,burundi,BDI,9,25.1,30.9,19.9
Calgary,canada,CAN,1,-5.5,0.2,-11.0
Calgary,canada,CAN,10,5.4,11.5,-0.6
Calgary,canada,CAN,11,-1.0,4.6,-6.4
Calgary,canada,CAN,12,-6.0,-0.8,-11.2
Calgary,canada,CAN,2,-6.9,-1.5,-12.3
Calgary,canada,CAN,3,-1.6,4.2,-7.4
Calgary,canada,CAN,4,4.6,10.9,-1.7
Calgary,canada,CAN,5,10.9,17.4,4.4
Calgary,canada,CAN,6,15.3,21.6,9.0
Calgary,canada,CAN,7,18.2,24.8,11.6
Calgary,canada,CAN,8,17.5,24.2,10.8
Calgary,canada,CAN,9,12.3,18.4,6.0
Carcassone,france,FRA,1,6.8,10.3,3.4
Carcassone,france,FRA,10,15.8,20.8,11.7
Carcassone,france,FRA,11,10.6,14.7,6.8
Carcassone,france,FRA,12,8.2,12.0,4.6
Carcassone,france,FRA,2,8.7,13.2,4.7
Carcassone,france,FRA,3,10.7,15.6,6.2
Carcassone,france,FRA,4,12.7,18.0,7.8
Carcassone,france,FRA,5,16.4,21.8,11.4
Carcassone,france,FRA,6,21.0,26.7,15.5
Carcassone,france,FRA,7,23.9,30.1,17.8
Carcassone,france,FRA,8,23.9,30.5,17.9
Carcassone,france,FRA,9,20.2,26.4,14.8
Carcassonne,france,FRA,1,6.8,10.3,3.4
Carcassonne,france,FRA,10,15.8,20.8,11.7
Carcassonne,france,FRA,11,10.6,14.7,6.8
Carcassonne,france,FRA,12,8.2,12.0,4.6
Carcassonne,france,FRA,2,8.7,13.2,4.7
Carcassonne,france,FRA,3,10.7,15.3,6.5
Carcassonne,france,FRA,4,12.7,18.0,7.8
Carcassonne,france,FRA,5,16.4,21.8,11.4
Carcassonne,france,FRA,6,21.0,26.7,15.5
Carcassonne,france,FRA,7,23.9,30.1,17.8
Carcassonne,france,FRA,8,23.9,30.5,17.9
Carcassonne,france,FRA,9,20.2,26.4,14.8
Cebu,philippines,PHL,1,27.1,29.9,24.9
Cebu,philippines,PHL,10,28.2,31.6,25.5
Cebu,philippines,PHL,11,28.3,31.2,25.7
Cebu,philippines,PHL,12,27.6,30.3,25.3
Cebu,philippines,PHL,2,27.0,30.0,24.6
Cebu,philippines,PHL,3,27.9,31.2,25.1
Cebu,philippines,PHL,4,28.8,32.2,25.9
Cebu,philippines,PHL,5,29.5,33.1,26.8
Cebu,philippines,PHL,6,28.8,32.3,26.0
Cebu,philippines,PHL,7,28.4,31.7,25.8
Cebu,philippines,PHL,8,28.6,32.2,25.8
Cebu,philippines,PHL,9,28.4,32.0,25.7
Charlottetown,canada,CAN,1,-5.5,-1.3,-9.5
Charlottetown,canada,CAN,10,9.6,14.0,5.2
Charlottetown,canada,CAN,11,3.6,7.5,0.0
Charlottetown,canada,CAN,12,-1.7,1.9,-5.1
Charlottetown,canada,CAN,2,-6.1,-1.6,-10.6
Charlottetown,canada,CAN,3,-2.4,1.6,-6.2
Charlottetown,canada,CAN,4,3.1,7.8,-1.1
Charlottetown,canada,CAN,5,9.2,14.8,3.8
Charlottetown,canada,CAN,6,14.9,20.1,10.1
Charlottetown,canada,CAN,7,19.5,24.2,14.9
Charlottetown,canada,CAN,8,19.6,24.3,14.9
Charlottetown,canada,CAN,9,15.2,19.9,10.4
Colmar,france,FRA,1,3.2,6.5,-0.1
Colmar,france,FRA,10,12.8,18.0,8.2
Colmar,france,FRA,11,6.6,10.2,3.2
Colmar,france,FRA,12,4.5,7.4,1.6
Colmar,france,FRA,2,5.9,10.6,1.7
Colmar,france,FRA,3,8.4,13.5,3.2
Colmar,france,FRA,4,10.9,16.5,5.3
Colmar,france,FRA,5,15.1,20.4,9.5
Colmar,france,FRA,6,20.0,25.6,14.4
Colmar,france,FRA,7,21.4,27.2,15.4
Colmar,france,FRA,8,21.3,27.4,15.6
Colmar,france,FRA,9,17.2,23.5,11.4
Colombo,sri lanka,LKA,1,27.2,31.3,24.0
Colombo,sri lanka,LKA,10,27.5,30.2,25.1
Colombo,sri lanka,LKA,11,27.3,30.7,24.5
Colombo,sri lanka,LKA,12,27.4,31.1,24.3
Colombo,sri lanka,LKA,2,27.9,32.1,24.7
Colombo,sri lanka,LKA,3,28.5,32.1,25.4
Colombo,sri lanka,LKA,4,28.9,32.3,25.8
Colombo,sri lanka,LKA,5,28.9,31.6,26.6
Colombo,sri lanka,LKA,6,28.7,31.0,26.3
Colombo,sri lanka,LKA,7,28.4,30.7,26.3
Colombo,sri lanka,LKA,8,28.2,30.5,26.1
Colombo,sri lanka,LKA,9,27.8,30.3,25.6
Da Lat,vietnam,VNM,1,18.6,23.7,14.5
Da Lat,vietnam,VNM,10,19.9,23.8,16.5
Da Lat,vietnam,VNM,11,19.5,23.6,15.8
Da Lat,vietnam,VNM,12,18.6,22.9,15.4
Da Lat,vietnam,VNM,2,19.9,26.0,15.0
Da Lat,vietnam,VNM,3,21.2,27.1,16.6
Da Lat,vietnam,VNM,4,21.7,26.8,18.0
Da Lat,vietnam,VNM,5,21.5,26.3,17.4
Da Lat,vietnam,VNM,6,20.9,24.6,17.2
Da Lat,vietnam,VNM,7,20.6,23.9,17.2
Da Lat,vietnam,VNM,8,20.5,24.1,17.3
Da Lat,vietnam,VNM,9,20.3,24.0,17.2
Davao,philippines,PHL,1,27.0,31.0,24.1
Davao,philippines,PHL,10,28.1,32.7,24.5
Davao,philippines,PHL,11,28.1,32.7,24.7
Davao,philippines,PHL,12,27.6,31.9,24.4
Davao,philippines,PHL,2,27.0,31.4,23.8
Davao,philippines,PHL,3,28.0,32.8,24.3
Davao,philippines,PHL,4,28.7,33.6,24.7
Davao,philippines,PHL,5,29.0,33.3,25.5
Davao,philippines,PHL,6,28.1,32.3,24.7
Davao,philippines,PHL,7,27.9,31.7,24.7
Davao,philippines,PHL,8,28.1,32.2,24.6
Davao,philippines,PHL,9,28.3,32.5,24.9
Dhaka,bangladesh,BGD,1,18.7,24.7,14.7
Dhaka,bangladesh,BGD,10,28.0,32.4,25.0
Dhaka,bangladesh,BGD,11,24.6,30.4,20.5
Dhaka,bangladesh,BGD,12,20.5,26.1,16.6
Dhaka,bangladesh,BGD,2,21.8,28.2,17.3
Dhaka,bangladesh,BGD,3,26.8,32.8,21.9
Dhaka,bangladesh,BGD,4,28.8,34.7,24.9
Dhaka,bangladesh,BGD,5,29.5,34.3,25.7
Dhaka,bangladesh,BGD,6,29.4,33.2,26.7
Dhaka,bangladesh,BGD,7,29.4,33.1,27.2
Dhaka,bangladesh,BGD,8,29.4,33.1,27.1
Dhaka,bangladesh,BGD,9,29.5,33.5,26.8
Edmonton,canada,CAN,1,-8.7,-4.1,-13.2
Edmonton,canada,CAN,10,5.2,10.4,0.3
Edmonton,canada,CAN,11,-2.7,1.5,-6.7
Edmonton,canada,CAN,12,-8.4,-4.3,-12.4
Edmonton,canada,CAN,2,-8.9,-4.1,-13.8
Edmonton,canada,CAN,3,-2.5,2.7,-7.8
Edmonton,canada,CAN,4,4.6,10.2,-0.7
Edmonton,canada,CAN,5,12.9,19.1,6.8
Edmonton,canada,CAN,6,16.8,22.4,11.1
Edmonton,canada,CAN,7,19.1,24.8,13.6
Edmonton,canada,CAN,8,17.9,23.8,12.1
Edmonton,canada,CAN,9,12.6,18.4,7.1
Espiritu Santo,vanuatu,VUT,1,27.3,31.0,23.4
Espiritu Santo,vanuatu,VUT,10,26.1,29.3,22.8
Espiritu Santo,vanuatu,VUT,11,26.8,30.0,23.4
